"id_code","district","longitude","latitude"
"m_fir","Firozpur",74.394145,30.561454
"m_adi","Adilabad",78.96655,19.254438
"m_del","Delhi",77.108965,28.646458
"m_agr","Agra",78.062737,27.007568
"m_ahm","Ahmadabad",72.203233,22.727203
"m_luc","Lucknow",80.896858,26.846907
"m_nag","Nagpur",79.082119,21.176874
"m_jal","Jalpaiguri",89.080721,26.662621
"m_all","Allahabad",81.96505,25.299904
"m_una","Una",76.195744,31.582749
"m_amr","Amravati",77.56866,21.189326
"m_amr","Amritsar",74.86642,31.530462
"m_vis","Vishakhapatnam",82.682004,17.88474
"m_aur","Aurangabad",84.404492,24.793543
"m_aur","Aurangabad",75.275949,20.022612
"m_mur","Murshidabad",88.227024,24.161402
"m_bol","Bolangir",83.166765,20.586002
"m_gre","Greater Bombay",72.923258,19.145464
"m_ban","Bangalore Urban",77.586787,12.942303
"m_ana","Anantnag (Kashmir South)",75.332294,33.804036
"m_pun","Pune",74.076734,18.570563
"m_bar","Bareilly",79.411117,28.455432
"m_dha","Dhanbad",86.470916,23.830342
"m_bar","Barmer",71.478981,25.730172
"m_kha","Khammam",80.679128,17.590101
"m_jod","Jodhpur",72.787863,26.749029
"m_bha","Bhavnagar",71.86295,21.68373
"m_bok","Bokaro",85.987546,23.691853
"m_bho","Bhopal",77.391901,23.482127
"m_kac","Kachchh",69.967052,23.625434
"m_jal","Jalgaon",75.491466,20.93749
"m_bik","Bikaner",73.076434,28.191078
"m_bil","Bilaspur",81.954703,22.349903
"m_bil","Bilaspur",76.657588,31.375152
"m_hyd","Hyderabad",78.464526,17.38596
"m_bir","Birbhum",87.661532,23.95171
"m_mys","Mysore",76.435923,12.202194
"m_che","Chennai",80.23493,13.048337
"m_chi","Chittoor",79.003957,13.456623
"m_coi","Coimbatore",77.07216,10.836707
"m_nil","Nilgiris",76.632891,11.448575
"m_dur","Durg",81.346651,21.18944
"m_pat","Patna",85.213932,25.457251
"m_dar","Darjiling",88.391978,26.914131
"m_deh","Dehra Dun",77.959794,30.468601
"m_pur","Purba Champaran",84.916513,26.620689
"m_nan","Nanded",77.620608,19.115135
"m_ana","Anantapur",77.570753,14.475031
"m_dha","Dharwad",75.156216,15.386464
"m_dib","Dibrugarh",95.054811,27.371243
"m_eas","East Midnapore",87.774389,22.026769
"m_kor","Korba",82.603572,22.532362
"m_gun","Guntur",80.08137,16.291378
"m_kam","Kamrup",91.535039,26.1354
"m_koc","Kochbihar",89.349321,26.292322
"m_ran","Ranchi",85.330163,23.211364
"m_kol","Kolkata",88.352416,22.551416
"m_ind","Indore",75.781453,22.716291
"m_utt","Uttar Dinajpur",88.156948,25.874642
"m_jun","Junagadh",70.794231,20.834384
"m_jun","Junagadh",70.56796,21.213548
"m_eas","East Godavari",81.997558,17.189858
"m_kan","Kanpur",80.320721,26.380307
"m_kan","Kanniyakumari",77.34655,8.306209
"m_siv","Sivaganga",78.576072,9.907135
"m_nai","Naini Tal",79.455029,29.316853
"m_thi","Thiruvananthapuram",77.004583,8.606253
"m_kol","Kollam",76.867776,8.954158
"m_tin","Tinsukia",95.625516,27.584578
"m_nag","Nagaon",92.841534,26.225442
"m_kri","Krishna",80.792672,16.550539
