"id_code","station","district","longitude","latitude"
"abs","abohar","Firozpur",74.394145,30.561454
"adb","adilabad","Adilabad",78.96655,19.254438
"andi","adrsh ngr delhi","Delhi",77.108965,28.646458
"agc","agra cantt","Agra",78.062737,27.007568
"af","agra fort","Agra",78.062737,27.007568
"adi","ahmedabad jn","Ahmadabad",72.203233,22.727203
"adij","ahmedabad mg","Ahmadabad",72.203233,22.727203
"ash","aishbagh","Lucknow",80.896858,26.846907
"aii","ajmer jn","Ajmer",74.764704,26.228229
"ajni","ajni","Nagpur",79.082119,21.176874
"ak","akola jn","Akola",77.044486,20.750286
"apdj","alipur duar jn","Jalpaiguri",89.080721,26.662621
"aly","allahabad city","Allahabad",81.96505,25.299904
"ald","allahabad jn","Allahabad",81.96505,25.299904
"allp","alleppey","Alappuzha",76.446023,9.413494
"aadr","amb  andaura","Una",76.195744,31.582749
"umb","ambala cant jn","Ambala",76.96623,30.358786
"abkp","ambikapur","Surguja",83.211682,23.357606
"ami","amravati","Amravati",77.56866,21.189326
"asr","amritsar jn","Amritsar",74.86642,31.530462
"akp","anakapalle","Vishakhapatnam",82.682004,17.88474
"anvt","anand vihar trm","Delhi",77.108965,28.646458
"asn","asansol jn","Barddhaman",87.763369,23.42541
"att","atari","Amritsar",74.86642,31.530462
"awb","aurangabad","Aurangabad",84.404492,24.793543
"awb","aurangabad","Aurangabad",75.275949,20.022612
"amh","azamgarh","Azamgarh",83.041013,26.055357
"az","azimganj jn","Murshidabad",88.227024,24.161402
"bgk","bagalkot","Bagalkot",75.626306,16.218147
"btc","balaghat jn","Balaghat",80.353927,21.881287
"blgr","balangir","Bolangir",83.166765,20.586002
"bpq","balharshah","Chandrapur",79.437949,20.116741
"bui","ballia","Ballia",84.096587,25.877504
"blgt","balurghat","Dakshin Dinajpur",88.592356,25.361652
"bdts","bandra terminus","Greater Bombay",72.923258,19.145464
"bnc","bangalore cant","Bangalore Urban",77.586787,12.942303
"sbc","bangalore cy jn","Bangalore Urban",77.586787,12.942303
"bgy","bangriposi","Mayurbhanj",86.405747,21.890603
"bahl","banihal","Anantnag (Kashmir South)",75.332294,33.804036
"baka","banka","Banka",86.833973,24.851863
"bbn","barabil","Keonjhar",85.699193,21.53221
"brmt","baramati","Pune",74.076734,18.570563
"bju","barauni jn","Begusarai",86.123164,25.495638
"be","bareilly","Bareilly",79.411117,28.455432
"brka","barka kana","Dhanbad",86.470916,23.830342
"bme","barmer","Barmer",71.478981,25.730172
"brwd","barwadih jn","Latehar",84.43603,23.717111
"bdcr","bhadrachalam rd","Khammam",80.679128,17.590101
"bgp","bhagalpur","Bhagalpur",87.076882,25.26926
"bgkt","bhagat ki kothi","Jodhpur",72.787863,26.749029
"bti","bhatinda jn","Bathinda",75.029917,30.184168
"bvc","bhavnagar trmus","Bhavnagar",71.86295,21.68373
"bix","bhind","Bhind",78.714894,26.426569
"bnw","bhiwani","Bhiwani",75.957863,28.724197
"bje","bhojudih jn","Bokaro",85.987546,23.691853
"bpl","bhopal  jn","Bhopal",77.391901,23.482127
"bbs","bhubaneswar","Khordha",85.505411,20.082522
"bhuj","bhuj","Kachchh",69.967052,23.625434
"bsl","bhusaval jn","Jalgaon",75.491466,20.93749
"bidr","bidar","Bidar",77.223596,17.950285
"bjp","bijapur","Bijapur",75.953675,16.791425
"bkn","bikaner jn","Bikaner",73.076434,28.191078
"bsp","bilaspur jn","Bilaspur",81.954703,22.349903
"bsp","bilaspur jn","Bilaspur",76.657588,31.375152
"bksc","bokaro stl city","Bokaro",85.987546,23.691853
"bmo","bolarum","Hyderabad",78.464526,17.38596
"bhp","bolpur s niktn","Birbhum",87.661532,23.95171
"bvi","borivali","Greater Bombay",72.923258,19.145464
"bsc","bulandshahr","Bulandshahr",77.999178,28.366684
"kop","c shahumharaj t","Kolhapur",74.167327,16.466901
"ckp","chakradharpur","Pashchim Singhbhum",85.513621,22.416548
"csn","chalisgaon jn","Jalgaon",75.491466,20.93749
"cmnr","chamarajanagar","Mysore",76.435923,12.202194
"chd","chandia road","Umaria",80.91362,23.606432
"cdg","chandigarh","Chandigarh",76.767896,30.733907
"mas","chennai central","Chennai",80.23493,13.048337
"ms","chennai egmore","Chennai",80.23493,13.048337
"cpr","chhapra","Saran",84.816904,25.906214
"cwa","chhindwara jn","Chhindwara",78.850032,22.123353
"chrm","chirmiri","Koriya",82.228851,23.469292
"cto","chittoor","Chittoor",79.003957,13.456623
"cbe","coimbatore jn","Coimbatore",77.07216,10.836707
"onr","coonoor","Nilgiris",76.632891,11.448575
"dr","dadar","Greater Bombay",72.923258,19.145464
"dhd","dahod","Dahod",74.019815,22.910212
"drz","dalli rajhara","Durg",81.346651,21.18944
"dmo","damoh","Damoh",79.520501,23.816417
"dnr","danapur","Patna",85.213932,25.457251
"dbg","darbhanga jn","Darbhanga",86.017354,26.114794
"dj","darjeeling","Darjiling",88.391978,26.914131
"dd","daund jn","Pune",74.076734,18.570563
"ddn","dehradun","Dehra Dun",77.959794,30.468601
"dkgn","dekargaon","Sonitpur",92.927218,26.782607
"dli","delhi","Delhi",77.108965,28.646458
"dee","delhi s rohilla","Delhi",77.108965,28.646458
"daka","dhaka","Purba Champaran",84.916513,26.620689
"dhn","dhanbad jn","Dhanbad",86.470916,23.830342
"dab","dharmabad","Nanded",77.620608,19.115135
"dmm","dharmavaram jn","Anantapur",77.570753,14.475031
"dwr","dharwar","Dharwad",75.156216,15.386464
