"origin","destination","count"
"m_una","m_del",1
"abkp","m_dur",1
"abkp","jbp",1
"abkp","sdl",1
"m_fir","m_jod",1
"m_adi","m_chi",1
"m_ahm","m_agr",1
"m_ahm","aii",1
"m_ahm","m_all",1
"m_ahm","m_gre",1
"m_ahm","m_gre",1
"m_ahm","m_jod",1
"m_ahm","bl",1
"m_ahm","m_var",1
"m_ahm","m_gre",1
"m_ahm","dbg",1
"m_ahm","m_del",1
"m_ahm","gkp",1
"m_ahm","hw",1
"m_ahm","m_kol",1
"m_ahm","jat",1
"m_ahm","jp",1
"m_ahm","m_kol",1
"m_ahm","kop",1
"m_ahm","m_luc",1
"m_ahm","m_che",1
"m_ahm","m_del",1
"m_ahm","m_nag",1
"m_ahm","m_del",1
"m_ahm","m_kac",1
"m_ahm","m_pat",1
"m_ahm","m_pun",1
"m_ahm","puri",1
"m_ahm","sln",1
"m_ahm","m_ana",1
"m_ahm","uhp",1
"m_ahm","m_jun",1
"m_ahm","m_jun",1
"m_ahm","m_ban",1
"m_ahm","m_uda",1
"m_agr","m_ahm",1
"m_agr","aii",1
"m_agr","jp",1
"m_agr","rtm",1
"m_agr","m_kol",1
"m_agr","m_luc",1
"m_agr","m_gre",1
"m_agr","m_del",1
"aii","m_ahm",1
"aii","m_agr",1
"aii","m_amr",1
"aii","m_gre",1
"aii","bgp",1
"aii","cdg",1
"aii","m_del",1
"aii","m_gre",1
"aii","m_dur",1
"aii","ers",1
"aii","hw",1
"aii","m_hyd",1
"aii","jat",1
"aii","jbp",1
"aii","m_jod",1
"aii","kne",1
"aii","m_kol",1
"aii","m_mys",1
"aii","m_del",1
"aii","m_del",1
"aii","puri",1
"aii","m_pat",1
"aii","m_ran",1
"aii","rtm",1
"aii","m_ban",1
"aii","m_kol",1
"m_nag","m_gre",1
"ak","m_ind",1
"ak","m_hyd",1
"ak","ujn",1
"m_vis","m_kri",1
"m_all","m_ahm",1
"m_all","cdg",1
"m_all","hw",1
"m_all","jp",1
"m_all","m_luc",1
"m_all","m_gre",1
"m_all","mtc",1
"m_all","m_del",1
"m_all","sre",1
"allp","can",1
"allp","m_dha",1
"allp","m_che",1
"m_all","m_kol",1
"amh","m_del",1
"amh","m_kol",1
"amh","m_gre",1
"m_amr","m_gre",1
"m_amr","jbp",1
"m_amr","m_pun",1
"m_amr","m_sur",1
"m_amr","m_chi",1
"m_del","shc",1
"m_del","bgp",1
"m_del","m_var",1
"m_del","m_kan",1
"m_del","gaya",1
"m_del","m_kam",1
"m_del","gkp",1
"m_del","m_eas",1
"m_del","m_ran",1
"m_del","jbn",1
"m_del","jyg",1
"m_del","m_nai",1
"m_del","m_kol",1
"m_del","kyq",1
"m_del","m_luc",1
"m_del","m_luc",1
"m_del","mau",1
"m_del","mfp",1
"m_del","mldt",1
"m_del","rewa",1
"m_del","smi",1
"m_del","m_kol",1
"m_del","m_ana",1
"m_jal","dbb",1
"m_jal","m_del",1
"m_jal","m_kol",1
"m_luc","m_bar",1
"asn","m_bha",1
"asn","m_gre",1
"asn","gd",1
"asn","gkp",1
"asn","m_kol",1
"asn","m_che",1
"asn","m_kol",1
"asn","tata",1
"m_amr","aii",1
"m_amr","m_gre",1
"m_amr","m_gre",1
"m_amr","m_bil",1
"m_amr","m_bil",1
"m_amr","cdg",1
"m_amr","m_kan",1
"m_amr","m_gre",1
"m_amr","m_dib",1
"m_amr","m_deh",1
"m_amr","hw",1
"m_amr","m_kol",1
"m_amr","m_ind",1
"m_amr","jyg",1
"m_amr","m_thi",1
"m_amr","kir",1
"m_amr","m_kol",1
"m_amr","m_nai",1
"m_amr","m_del",1
"m_amr","m_nan",1
"m_amr","m_kol",1
"m_amr","sdlp",1
"m_amr","shc",1
"m_amr","tata",1
"m_amr","m_vis",1
"m_amr","m_del",1
"m_aur","m_gre",1
"m_aur","m_gre",1
"m_aur","m_hyd",1
"m_aur","m_hyd",1
"m_aur","m_nan",1
"m_aur","m_nan",1
"m_aur","m_chi",1
"m_aur","m_chi",1
"m_mur","m_kol",1
"m_ana","sina",1
"baka","m_pat",1
"bbn","ckp",1
"bbn","m_kol",1
"bbn","puri",1
"bbs","bgy",1
"bbs","m_bol",1
"bbs","m_ban",1
"bbs","m_gre",1
"bbs","m_dha",1
"bbs","m_kol",1
"bbs","jdb",1
"bbs","m_jun",1
"bbs","m_jun",1
"bbs","m_gre",1
"bbs","m_che",1
"bbs","m_del",1
"bbs","pdy",1
"bbs","m_pat",1
"bbs","m_pun",1
"bbs","rmm",1
"bbs","rou",1
"bbs","m_ban",1
"bbs","m_hyd",1
"bbs","m_chi",1
"bbs","m_vis",1
"bbs","m_ban",1
"m_gre","m_ahm",1
"m_gre","m_amr",1
"m_gre","brc",1
"m_gre","m_fir",1
"m_gre","m_ind",1
"m_gre","jp",1
"m_gre","m_del",1
"m_gre","m_del",1
"m_gre","m_kac",1
"m_gre","pbr",1
"m_gre","m_sur",1
"m_kha","m_hyd",1
"bdl","m_luc",1
"m_gre","m_ahm",1
"m_gre","m_amr",1
"m_gre","m_jod",1
"m_gre","m_kac",1
"m_gre","m_bik",1
"m_gre","m_bha",1
"m_gre","cdg",1
"m_gre","m_kan",1
"m_gre","m_deh",1
"m_gre","m_del",1
"m_gre","m_kac",1
"m_gre","gkp",1
"m_gre","hsr",1
"m_gre","hw",1
"m_gre","jam",1
"m_gre","jat",1
"m_gre","jhs",1
"m_gre","jp",1
"m_gre","jsm",1
"m_gre","m_jod",1
"m_gre","m_luc",1
"m_gre","mfp",1
"m_gre","m_del",1
"m_gre","m_bha",1
"m_gre","m_pat",1
"m_gre","rmr",1
"m_gre","m_sur",1
"m_gre","m_uda",1
"m_bar","m_kac",1
"m_bar","m_var",1
"m_bar","m_del",1
"m_bar","gd",1
"m_bar","m_ind",1
"m_bar","m_gre",1
"m_bar","m_del",1
"m_bar","m_all",1
"m_bar","m_son",1
"m_bar","m_son",1
"bgk","m_mys",1
"m_jod","m_ahm",1
"m_jod","m_gre",1
"m_jod","m_bil",1
"m_jod","m_bil",1
"m_jod","m_del",1
"m_jod","m_bar",1
"m_jod","mq",1
"m_jod","m_pun",1
"m_jod","m_ban",1
"m_jod","m_vis",1
"bgp","aii",1
"bgp","m_del",1
"bgp","m_pat",1
"bgp","jat",1
"bgp","m_gre",1
"bgp","mfp",1
"bgp","m_del",1
"bgp","m_ran",1
"bgp","m_sur",1
"bgp","m_ban",1
"bgy","bbs",1
"m_bir","m_kol",1
"m_kac","m_gre",1
"m_kac","m_bar",1
"m_kac","m_gre",1
"m_kac","m_pun",1
"m_kac","m_kol",1
"bidr","m_gre",1
"bidr","m_ban",1
"bix","m_ind",1
"bix","kota",1
