"origin","destination","count"
"aadr","dli",1
"abkp","durg",1
"abkp","jbp",1
"abkp","sdl",1
"abs","ju",1
"adb","tpty",1
"adi","af",1
"adi","aii",1
"adi","ald",1
"adi","bct",1
"adi","bdts",1
"adi","bgkt",1
"adi","bl",1
"adi","bsb",1
"adi","bvi",1
"adi","dbg",1
"adi","dli",1
"adi","gkp",1
"adi","hw",1
"adi","hwh",1
"adi","jat",1
"adi","jp",1
"adi","koaa",1
"adi","kop",1
"adi","lko",1
"adi","mas",1
"adi","ndls",1
"adi","ngp",1
"adi","nzm",1
"adi","okha",1
"adi","pnbe",1
"adi","pune",1
"adi","puri",1
"adi","sln",1
"adi","svdk",1
"adi","uhp",1
"adi","vrl",1
"adi","ypr",1
"adij","udz",1
"af","adi",1
"af","aii",1
"af","jp",1
"af","rtm",1
"agc","koaa",1
"agc","ljn",1
"agc","ltt",1
"agc","ndls",1
"aii","adi",1
"aii","af",1
"aii","asr",1
"aii","bdts",1
"aii","bgp",1
"aii","cdg",1
"aii","dee",1
"aii","dr",1
"aii","durg",1
"aii","ers",1
"aii","hw",1
"aii","hyb",1
"aii","jat",1
"aii","jbp",1
"aii","ju",1
"aii","kne",1
"aii","koaa",1
"aii","mys",1
"aii","ndls",1
"aii","nzm",1
"aii","puri",1
"aii","rjpb",1
"aii","rnc",1
"aii","rtm",1
"aii","sbc",1
"aii","sdah",1
"ajni","ltt",1
"ak","indm",1
"ak","kcg",1
"ak","ujn",1
"akp","mtm",1
"ald","adi",1
"ald","cdg",1
"ald","hw",1
"ald","jp",1
"ald","lko",1
"ald","ltt",1
"ald","mtc",1
"ald","ndls",1
"ald","sre",1
"allp","can",1
"allp","dhn",1
"allp","mas",1
"aly","hwh",1
"amh","dli",1
"amh","koaa",1
"amh","ltt",1
"ami","cstm",1
"ami","jbp",1
"ami","pune",1
"ami","st",1
"ami","tpty",1
"andi","shc",1
"anvt","bgp",1
"anvt","bsb",1
"anvt","cnb",1
"anvt","gaya",1
"anvt","ghy",1
"anvt","gkp",1
"anvt","hlz",1
"anvt","hte",1
"anvt","jbn",1
"anvt","jyg",1
"anvt","kgm",1
"anvt","koaa",1
"anvt","kyq",1
"anvt","ljn",1
"anvt","lko",1
"anvt","mau",1
"anvt","mfp",1
"anvt","mldt",1
"anvt","rewa",1
"anvt","smi",1
"anvt","src",1
"anvt","svdk",1
"apdj","dbb",1
"apdj","dli",1
"apdj","sdah",1
"ash","izn",1
"asn","bvc",1
"asn","cstm",1
"asn","gd",1
"asn","gkp",1
"asn","hwh",1
"asn","mas",1
"asn","sdah",1
"asn","tata",1
"asr","aii",1
"asr","bct",1
"asr","bdts",1
"asr","bsp",1
"asr","cdg",1
"asr","cnb",1
"asr","cstm",1
"asr","dbrg",1
"asr","ddn",1
"asr","hw",1
"asr","hwh",1
"asr","indb",1
"asr","jyg",1
"asr","kcvl",1
"asr","kir",1
"asr","koaa",1
"asr","lku",1
"asr","ndls",1
"asr","ned",1
"asr","sdah",1
"asr","sdlp",1
"asr","shc",1
"asr","tata",1
"asr","vskp",1
"att","dli",1
"awb","dr",1
"awb","hyb",1
"awb","ned",1
"awb","ru",1
"az","hwh",1
"bahl","sina",1
"baka","rjpb",1
"bbn","ckp",1
"bbn","hwh",1
"bbn","puri",1
"bbs","bgy",1
"bbs","blgr",1
"bbs","bnc",1
"bbs","cstm",1
"bbs","dhn",1
"bbs","hwh",1
"bbs","jdb",1
"bbs","jnrd",1
